actual;predicted;match;answer;Origin
I read very little about the book so enligth me;I read very little about the book so and lead me;what type of things happen in the book;would you like to know something about the white rabbit?;C6
what do you know about Alice;what do you know about Alice;i would like to know something about Alice;Alice is 8 years old;C6
Why did Alice follow the rabbit;why did Alice follow the rabbit;why did Alice follow the rabbit;Alice was interested in what he was doing.;B6
Alice is trapped inside the house of the rabbit how is that;Alice is trapped inside the house after the rabbit how's that;how did Alice become trapped in the rabbit's house;Alice often shrinks and grows. In rabbit's house she grows.;C5
Alice's rabbit what it was wearing;what was the rabbits wedding understood what he was wearing;what was the rabbit wearing;He was late for a meeting;B1
And he was the only rabbit in the story;ok and he was the only rabbit in the story;was the white rabbit the only rabbit in the story;He is the only rabbit in Alice in Wonderland.;C3
And it's a very strange cat isn't he;it's a very strange that isn't he;is the Cheshire Cat strange;The Cheshire cat is very mysterious.;C5
And this things are just lying around in Wonderland;and things are just lying around in Wonderland;what makes Alice smaller;They are often given by characters she meets in Wonderland.;C5
Are there any things based on the true life in the book;are there any other things based on the true Life in the book;was the book based on a true story;Alice was based on Alice Liddell, a child friend of Lewis Carroll.;B4
Are there known records of bats eating cats;are there known records of births getting cats;do bats eat cats;There are no known records of bats eating cats;B6
Are there other things different in Wonderland;are there other things different in Wonderland;are things different in Wonderland;Wonderland is based on nonsense.;B4
But is it her older sister;is it older sister;is Alice's sister older than Alice;Yes, the sister is older than Alice.;B3
But Lewis didn't notice that;but you still know that;didn't Lewis notice it was against the law of physics;Lewis was a mathematician, he knew about this.;B5
But the Tim Burton one was very good;Tim Burton one was very good;was there another movie after;Tim Burton made a picture in 2010;B8
Can you tell me something about the cheshire cat;can you tell me something about the cheshire cat;what was the name of the cat in Wonderland;The Cheshire cat tries to help Alice find the directions to the palace.;C5
Did he write only book for children;City writers only book for children;did the author only write books for children or also for adults;Lewis Caroll wrote books for both adults and children.;C3
Did she know she had to drink the potion to become smaller;did she know that you have to drink the poison to become smaller;how did Alice know she had to drink the potion to become smaller;The door told her to drink the potion;C4
Did she really reach the center of the Earth as she expected;she really reach the centre of the earth as she expected;did Alice really reach the centre of the Earth, as she expected;Alice reached Wonderland.;B4
Did the cat eat bats;is the counterfeit;do cats eat bats;there are no records of cats eating bats;B8
Did you like the book;did you like the book;do you like the book;I liked the book a lot;B8
do bats eat cats;do bats eat cats;do bats eat cats;There are no known records of bats eating cats.;B4
Do cats eat bats;Ducati;do cats eat bats;Cats eat bats whenever they are able to catch one.;B1
Do you know that the nicest cricket games last for five days;do you know the nicest cricket games last for 5 days;unknown;No, I did not know that.;C2
Does Alice make it to the palace;does Alice make it to the palace;where does Alice meet the queen;She arrives at the palace. There, she meets the queen.;C5
Does Dinah play a role in this story as well;does she play a role in The Story as well;does Dinah play a role in this story as well;Dinah was based and named after a cat based on an actual cat owned by Charles X or Carrol.;B4
Does she have family;does she have family;does Alice have family;Alice has a sister.;B5
does the piece of cake makes Alice bigger or smaller;does the piece of cake makes a bigger or smaller;does the piece of cake makes Alice bigger or smaller;the piece of cake grows Alice ;C7
does Wonderland have the same physics rules as we have here;does wonderlands have the same physics rules as we have here;does Wonderland have the same physics rules as we have here;There are different rules of gravity.;B4
for how long did Alice fell through the rabbit hole;Ferraris fell through the rabbit hole;for how long was Alice falling;it is hard to say however given the amount of events it must have been quite long;C6
For how long was Alice falling;how long was Enniskillen ;for how long was Alice falling;That is hard to say, but given the amount of events, it must have been quite a while.;B1
Have you read Alice in Wonderland;have you read Alice in Wonderland;have you read the whole book of Alice in Wonderland;I am an expert on Alice in Wonderland;B8
Have you read it;Samuel it;do you recommend reading the book;Of course.;B1
how age was Lewis Carroll when he started to write Alice in Wonderland and how much time did it take it did it take him to write it;how old was Lewis Carroll when he started to write Alice in Wonderland and how much time did it take it take him to;what age was Lewis Carroll when he started to write Alice in Wonderland and how much time did it take him to write it;Lewis Carroll was 33 when he wrote Alice's Adventures in Wonderland. It took him one year to write.;C7
How did he come up with the idea of Alice;how would you come with me to the office;was the book based on a true story;He wrote the story for a child friend of his, named Alice Liddell.;C1
How did he come up with the idea of Alice;she come up with ideas;was the book based on a true story;He wrote the story for a child friend of his, named Alice Liddell.;C1
How do they catch them;how do they catch them;how do cats catch bats;Sometimes bats fall on the floor;B8
How does the story continue after the meeting with the queen;how does the story continue after death meeting with the Queen;how does the story of Alice end;Alice wonders if she was sleeping or not;C4
how exactly does she grow and shrink;how to grow and shrink never happens to me ;how does Alice grow and shrink;Alice often drinks drinks which make her larger or smaller.;C5
how far did Alice actually fall;how far did Alice actually fall;how far did Alice actually fall;Based on the events during this Alice fell quite far.;B4
How many books did he write;how many books did he write;what other books did the author write;Lewis Caroll wrote 12 books in total. His first book was a Tangled Tale.;C3
How old was he when he died;how old was he when he died;how old was Lewis Carroll when he died;He was 65 years old when he died in 1898.;C2
how was the movie;how was the movie;should I read the book or watch the movie;Disney made an animated picture in 1951;C6
I think Cheshire Cat does a bit more than that later in the book;Cheshire Cat does a bit more than that letter in about;what does the Cheshire cat do;later in the book the Cheshire cat annoys the queen;C8
I thought you knew everything about Alice in Wonderland;you know everything about Alice in Wonderland;have you read the whole book of Alice in Wonderland;I am an expert on Alice in Wonderland.;C2
I was wondering about her cat Dinah;I was wondering about her cat Dinah;I was wondering about her cat Dinah;Dinah is the cat of Alice.;B4
I would like to know when Alice meet the white rabbit;I would like to know when Alice meets the white rabbit;did Alice get the rabbit;Later in the book Alice meets the white rabbit.;B3
I'm wondering where the fall will end;wondering where the phone will end;i am wondering where the fall will end;Alice ends in room with a door and a table. The door is too small for Alice to enter.;C4
