;b;d;g;r;l;ŋ;n;m;v;ð;z;dʒ;ʈʃ;ʃ;s;θ;f;p;t;k
b;1116;94;91;1;11;6;17;29;184;56;1;4;2;2;0;19;19;60;10;6
d;103;1114;135;9;12;10;38;12;97;87;6;36;0;0;2;29;7;16;9;6
g;122;91;1140;5;7;9;9;15;128;54;2;6;0;1;0;18;14;33;17;57
r;27;49;112;925;128;25;44;19;74;14;38;65;19;24;12;30;17;32;37;37
l;51;22;84;123;1026;33;48;42;141;24;7;23;2;6;2;16;16;20;24;18
ŋ;7;7;14;4;42;877;390;281;69;22;0;1;0;1;0;7;3;2;1;0
n;11;15;11;7;14;90;1327;159;54;26;0;3;1;0;0;4;4;2;0;0
m;17;7;6;2;28;78;182;1328;56;15;3;0;0;0;0;2;2;1;0;1
v;64;9;17;3;7;3;7;7;1468;131;3;0;0;0;0;3;4;1;1;0
ð;10;9;3;1;3;1;2;3;714;940;23;1;0;0;0;13;4;0;1;0
z;25;55;62;16;11;10;24;21;70;32;948;144;40;34;61;32;16;21;72;34
dʒ;21;68;66;0;11;13;11;14;38;13;15;1269;75;29;4;14;12;12;27;16
ʈʃ;9;3;21;3;2;6;6;9;8;6;10;285;1066;146;9;17;9;10;65;38
ʃ;6;6;29;2;4;14;15;7;17;8;13;221;214;1008;40;19;5;18;39;43
s;21;20;57;7;9;11;32;21;42;22;177;82;59;106;746;76;44;39;111;46
θ;1;2;2;0;0;0;1;0;26;19;3;0;0;3;9;1314;337;1;7;3
f;6;2;6;0;1;1;4;2;67;16;3;1;2;0;9;394;1178;9;10;17
p;112;12;21;3;6;1;8;14;18;7;1;2;11;5;0;32;49;1095;114;217
t;6;40;32;5;6;6;15;12;17;8;8;37;37;12;10;46;29;99;1171;132
k;16;12;59;2;8;5;12;11;10;4;4;9;15;8;4;60;48;149;90;1202
